Search Term,Source,Title,Article Content
police sued,https://www.mercurynews.com/2020/07/21/bay-area-news-group-sues-san-jose-for-failure-to-release-police-discipline-use-of-force-records/,"

	
				
			Bay Area News Group sues San Jose for failure to release police discipline, use of force records		

	
	","GET BREAKING NEWS IN YOUR BROWSER. CLICK HERE TO TURN ON NOTIFICATIONS. SAN JOSE — The Bay Area News Group has sued the San Jose Police Department to force the release of dozens of files on officer misconduct and use of force, more than 18 months after a landmark transparency law required law enforcement across California to release such records. The lawsuit comes after more than six months of negotiations — and even after Mayor Sam Liccardo’s insistence that police comply with the law, known as SB 1421. San Jose police have countered it will take years to review and release more than 80 files sought by the news organization. So far, they have released only six complete cases and partial records from 20 others. “The records sought are of critical public importance in rebuilding the public’s trust in law enforcement, especially at this moment in history when the public’s attention is focused on police practices in a way that it never has been before,” attorney James Chadwick, who represents the news organization, wrote in the 26-page suit filed in Santa Clara County Superior Court. Partnering with KQED News, this news organization has filed hundreds of public records requests statewide under SB 1421, which for the first time opened long-secret personnel records that detail police using lethal force, or committing sexual misconduct or dishonesty. Frank Pine, the Bay Area News Group’s executive editor, said the city of San Jose left the news organization no choice but to file this lawsuit. “We have been negotiating with the Police Department and City Attorney’s Office since last year and we have made very little progress, with the city refusing even to commit to a timeline for when it would release requested records,” Pine said. “The law, however, is clear, and the taxpayers of San Jose deserve better. They deserve a government that is accountable, responsive, and responsible.” The news organization filed the suit on Friday, but because the coronavirus has affected court procedures, the filing wasn’t confirmed until Wednesday morning. San Jose City Attorney Richard Doyle said on Tuesday he had not yet seen the suit but that it was “too bad” negotiations didn’t lead to a compromise to avoid a court fight. “We have diligently been working to identify records to be released,” he wrote in an email. “It has been slow, and we have added more staff to that effort.” Late last week, Mayor Liccardo stepped into the matter, saying he would attempt to force the release of the records through the city Public Information Officer. But the mayor later acknowledged he did not have the power to do so under the city charter. On Tuesday, Liccardo said the city manager is trying to get some of the documents released within 30 days. San Jose Police have estimated the department has at least 86 cases, mostly shootings, covering the 2014-to-2019 scope of the request. At one point police claimed it would take four years to process them all, citing the need to review the records and redact witness names and other information they say is sensitive to be made public, such as home addresses and phone numbers. They later revised the estimate to two years. One public records advocate likened obtaining the records from San Jose to trying to secure information from the most clandestine corners of government. “Four years is CIA-level delay and makes no sense here,” said David Snyder, executive director of the First Amendment Coalition, a pro-transparency group. Although it is one of the poorer performers in the state, San Jose is not the only department lagging in the release of records under S.B. 1421. KQED News sued the California Highway Patrol in May over its failure to release records, and Oakland and San Francisco have been slow to release records. The Los Angeles Times sued the L.A. County Sheriff in June over the slow release of records as well. S.B. 1421’s author, Sen Nancy Skinner, D-Berkeley, has already introduced new legislation, S.B. 776, to broaden the types of records police are required to release and put fines in place for recalcitrant departments. Records released by the hundreds of police departments that are following the law show officers fired for sexual misconduct, stealing, and tipping off gang members about police activity. One officer who was fired by Newark police for lying in three separate police reports ended up teaching criminology classes at Cal State East Bay. Another, fired by the Alameda County Sheriff for lying, was later hired as a police officer in Pinole, a city in Contra Costa County. Records have also provided insight into police shootings and uses of force, such as the killing of a man in 2018 that led to four Oakland officers being fired. The suit comes at a time when interest in police accountability and transparency is surging nationally in the aftermath of the George Floyd protests, according to a recent poll. The poll, by two progressive think tanks, Data for Progress and the Justice Collaborative Institute, found that  “73 percent of likely voters, including 67 percent of Republicans, believe that the public has a right to know which police officers in the community have records of excessive force, sexual assault, racism, or dishonesty,” UC Hastings Law Professor Jonathan Abel, who conducted the poll with the two groups, wrote in a statement. The poll “confirms what legislators, commentators, and courts have increasingly come to recognize: suppressing information about police misconduct is not in the public interest. Policies that allow law enforcement misconduct records to be withheld from the public enable troubled officers to stay on the job, thereby posing an ongoing threat to the very communities they are supposed to protect and serve,” Abel wrote. The poll sampled 1,388 likely voters. It has a margin of error of 2.6 percentage points."
police sued,https://www.masslive.com/news/2020/07/springfield-police-officer-who-forced-man-out-of-station-by-the-throat-pleads-guilty-to-assault-incident-prompts-federal-lawsuit.html,Springfield police officer admits to assault charge; federal lawsuit filed by man he grabbed by the throat during parking ticket dispute,"SPRINGFIELD — Though cleared by his superiors and a civilian review board, Springfield Police Officer Jefferson Petrie admitted to an assault charge after forcing an angry civilian out of the lobby by his throat in 2017. Petrie admitted to the single count in Springfield District Court in March, records show, agreeing to attend anger management classes and stay 100 yards away from the victim, Jerry Bellamy. In exchange for complying with conditions set by a judge, the charges will be dismissed after one year. Bellamy, meanwhile, is suing Petrie, three other officers and the city in U.S. District Court. While the lawsuit does not specify a dollar figure, it alleges assault and battery, false arrest, malicious prosecution and civil rights violations. The complaint also alleges the city consistently fails to properly train its police force, thus “emboldening” officers to quickly resort to excessive force. The lawsuit focuses on an incident that played out in the police department lobby at 130 Pearl St., and was recorded by surveillance cameras. Video shows Bellamy, 48, walking into the station clutching a parking ticket in his hand on June 29, 2017. He intended to dispute the ticket and demanded to see a police supervisor, the complaint says. Petrie greeted him with “What’s your F’in problem” and Bellamy responded “with similar language,” according to the lawsuit. Footage from multiple angles shows Petrie quickly come out from behind his post at the public window protected by glass, clutch Bellamy by his throat and force him outside. Bellamy appears to flail when the officer shoves him then grabs him by the throat and forces him out the front door. “Less than twelve seconds after Mr. Bellamy arrived at the window, Officer Petrie left the secure part of the station and approached Mr. Bellamy in the public lobby,” the complaint reads. Bellamy said three officers joined Petrie, pushing him to the ground and continuing to punch him. Officers Colin Cochrane, Ruben Borrero and Thomas Sheehan also are named in the complaint. “The City is continuing the process of gathering documents and evidence needed to conduct and respond appropriately to discovery in this case,” City Solicitor Ed Pikula said. “As with other cases alleging police misconduct, we will continue to evaluate the options for litigation compared to alternative forms of disposition as discovery goes forward.” Petrie’s attorney, Charles Dolan, had no comment. Bellamy was arrested and charged with assault and battery and resisting arrest. Those charges were dropped by the Hampden district attorney’s office a year later. Petrie was cleared of misconduct by a civilian review board. Both current police Commissioner Cheryl C. Clapprood and her predecessor, John R. Barbieri, have defended his reaction to Bellamy in the lobby. “I don’t have a problem with the lobby video at all,” Clapprood said in a 2019 interview. “I watched it close enough to see the subject who was outside the lobby throw a punch at the officer. I thought at the time we wouldn’t have an issue with it and I still am behind the officer in the lobby video. That man came in and he was the aggressor in the disturbance.” Hampden District Attorney Anthony Gulluni’s office nonetheless sought a criminal complaint against Petrie. He was arraigned on the assault charge last year. The complaints says Bellamy lost his job after his arrest, and was unable to pay his rent or his car payments. ”Without a job his family was unable to afford their rent; as a result, Mr. Bellamy, his wife, and their two young children became homeless,” reads the complaint, filed by Northampton attorney Luke Ryan and Boston attorney Howard Friedman. Ryan said Bellamy was working as an independent contractor for a realty company at the time of his arrest in 2017. Police records show the clash in the police station lobby was not Bellamy’s first encounter with law enforcement. Between 2017 and 2020 — excluding the June 2017 arrest — Bellamy has been arrested several times for charges including home invasion, assault and battery on a family member, drug possession, assaulting a child, threatening to commit and crime and motor vehicle infractions, the records show. For his part, Petrie works in the garage at Pearl Street maintaining the department’s entire fleet of cars, police said. “Only in Springfield would an officer plead to criminal conduct and not miss a day of work,” he said, when called for comment. Note to readers: if you purchase something through one of our affiliate links we may earn a commission. Registration on or use of this site constitutes acceptance of our    User Agreement,  Privacy Policy and Cookie Statement,  and Your California Privacy Rights  (each updated 1/1/20). © 2020 Advance Local Media LLC. All rights reserved (About Us).  The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Advance Local. Community Rules  apply to all content you upload or otherwise submit to this site."
police sued,https://abcnews.go.com/US/city-aurora-sued-police-response-violin-vigil-elijah/story?id=71951197,City of Aurora sued over police response to 'violin vigil' following Elijah McClain death,"Five attendees of a rally and vigil for Elijah McClain held last month in Aurora are suing the Colorado city and its interim top cop over what they say was an unconstitutional police response that ""terrorized"" peaceful protesters. On June 27, thousands of demonstrators gathered for a ""violin vigil"" to celebrate the life of McClain, a 23-year-old Black man who died last year a few days after police confronted him as he was walking home from a convenience store. In social media footage of the gathering, held on the lawn of the Aurora Municipal Center, serene violin music contrasted with images of officers approaching in riot gear and spraying the crowd with pepper spray. ""Against the backdrop of the violinists' beautiful and haunting soundtrack, these officers under [Aurora Police Department] direction bullied and indiscriminately deployed chemical agents on the men, women, and children who had gathered to peacefully remember Elijah. Some even wielded batons and shot projectiles,"" states the class action lawsuit, which names the city of Aurora and Interim Chief Vanessa Wilson, among others, as defendants. ""They terrorized an already reeling and grieving community."" The plaintiffs are seeking damages for ""emotional distress, humiliation, loss of enjoyment of life and other pain and suffering,"" according to the complaint. The lawsuit is also calling for injunctive relief regarding police behavior at demonstrations, including requiring body-worn cameras to be recording and unobstructed at all times, to only give orders to disperse when there is ""imminent danger of harm to persons (not property)"" and to bar the use of chemical agents, including pepper spray, against those ""exercising their rights of free speech and assembly."" ""Today, we are proud to represent leaders of the Aurora community who have filed this class action lawsuit to do what Aurora's officials refuse to: hold Aurora's out-of-control police department accountable,"" said Mari Newman, one of the attorneys who filed the lawsuit Thursday, in a statement. The five plaintiffs include two members of the city's new community police task force and the chairwoman of the Arapahoe County Democratic Party. The city has not been served yet, according to Aurora City Attorney Daniel Brotzman. ""As soon as we obtain a copy of the complaint from the Court, we will begin analyzing it,"" Brotzman said in a written statement. ""Since we haven't seen it, only accounts from the media, we will need time to evaluate the claims."" ABC News has reached out to the Aurora Police Department for comment. At a June 30 virtual meeting called to address the police department's widely criticized response, Aurora's interim police chief defended the officers' actions, saying they were trying to protect peaceful demonstrators from a small group of agitators. ""I'm deeply concerned that children were frightened by that,"" Wilson said. ""People were confused by that, and I profusely apologize for that."" McClain's death has gotten renewed attention amid calls for justice for George Floyd, who died while in police custody on May 25. Nationwide protests have included violin vigils in honor of McClain, a certified massage therapist and self-taught violin player. On the night of Aug. 24, 2019, while McClain was out buying soft drinks, someone called 911 to report a suspicious person who was reportedly wearing a ski mask and waving his arms as he walked down a street. When responding police officers grabbed him, police body camera video captured McClain telling them, ""I am an introvert. Please respect the boundaries that I am speaking."" Several minutes into the video, he also could be heard saying, ""I can't breathe,"" and told the officers he was in pain as they applied a chokehold. When paramedics arrived, they gave him ketamine, a sedative. He suffered a heart attack on the way to the hospital and was later declared brain dead. He died on Aug. 30. After an investigation by the county's district attorney, the three officers did not face any charges. Last month, following a series of rallies and protests demanding justice for McClain, Colorado Gov. Jared Polis appointed state Attorney General Phil Weiser as the special prosecutor to investigate the death and potentially file charges. ABC News' Clayton Sandell and Jeffrey Cook contributed to this report."
police sued,https://www.msn.com/en-us/news/crime/family-of-black-man-shot-22-times-by-police-settles-lawsuit/ar-BB174m1y,Family of Black man shot 22 times by police settles lawsuit,"MARTINSBURG, W.Va. (AP) — A West Virginia city has agreed to settle an excessive force lawsuit filed by the family of a homeless Black man who was shot 22 times by police, an attorney said. Christopher E. Brown, the attorney for the family of Wayne Arnold Jones, told The Washington Post that the lawsuit was settled for $3.5 million. “I promised my mother before she died that we would continue to fight for justice,” Jones' brother, Bruce Jones, told the newspaper. “The settlement makes me feel a little bit better, but until I can have a chance to have these cops prosecuted, I am still going to be pushing for justice.” The Martinsburg Police Department said in a statement that the settlement was not an admission of guilt. Police had stopped Wayne Jones as he was walking on a Martinsburg street. Jones was shot after police said the 50-year-old Stephens City, Virginia, resident shrugged off two jolts from a stun gun, fought with officers and stabbed one of them. The officers are white. U.S. District Judge Gina Groh had dismissed the lawsuit. But a three-member federal appeals court panel reversed the granting of summary judgment to the officers on qualified immunity grounds last month, saying that “a reasonable jury could find that Jones was both secured and incapacitated in the final moments before his death.” The court also referenced the Memorial Day death of George Floyd, a Black man who died in Minneapolis after white police officer Derek Chauvin pressed his knee to Floyd’s neck for several minutes. That death prompted protests by millions of people around the world The appeals panel noted that “although we recognize that our police officers are often asked to make split-second decisions, we expect them to do so with respect for the dignity and worth of black lives. This has to stop.” The police department's statement said the city's insurance carrier agreed to the settlement to avoid the ongoing costs of litigation along with the stress that a trial would bring to the officers and the families of the officers and Jones. The city of Martinsburg said in the statement that ""with this settlement, the City and the MPD hope everyone involved will be able to put this incident behind them and allow the community to heal.” A Berkeley County grand jury declined to indict the officers in the shooting. The U.S. Justice Department later said there was insufficient evidence to pursue criminal civil rights charges against police. Civil rights leaders had pressed for the investigation. The Jones family has filed a separate appeal in state court seeking a grand jury investigation, Brown said. “The fact that I could tell my client that we still have a shot at criminal prosecution made the (settlement) figure very acceptable,” Brown said."
police sued,https://www.sfgate.com/news/article/Utah-family-sues-city-police-officers-in-15429728.php,"Utah family sues city, police  officers in killing of son","SALT LAKE CITY (AP) — The parents of a Utah man who was shot and killed by police in his driveway while holding a knife have filed a lawsuit against the city of Ogden and its police department. In the lawsuit filed Wednesday, Juan and Rosa Mercado allege the officers had no reason to shoot their son because he posed no harm to the officers or anyone else and hadn't broken any laws. In March, Weber County Attorney Chris Allred concluded the officers were justified in their use of deadly force. Jovany Mercado, 26, was fatally shot on Aug. 16 after officers responded to a report of a man who threatened people at a party with a knife, according to the lawsuit. Mercado’s family says he was likely suffering an episode related to mental illness and didn’t threaten anyone. “He needed Ogden police to be there and save him that day, but they did not,” Mercado's sister, Ruby Mercado, told reporters Thursday. “They took his life instead when he needed help.” When officers arrived at Mercado's home, they say they told him to walk toward them and drop the knife. Four officers fired a total of at least at least 20 shots at Mercado as he began walking down his driveway with the knife in hand, according to the lawsuit. “We feel the shooting constituted grossly excessive deadly force,"" family attorney Robert Sykes said. ""Jovany was shot on his own property, as he walked toward the police as commanded. He had a pocket knife, but made no aggressive or threatening gestures or statements.” Authorities say it was larger than a pocketknife. The lawsuit names the Ogden Police Department, the four officers and the city as defendants. The department referred questions about the lawsuit to city attorney Heather White, who said the officers had no choice but to shoot Jovany Mercado because he did not drop the knife. White also added that Jovany Mercado could still pose a threat to the officers regardless of his mental state. Sophia Eppolito is a corps member for the Associated Press/Report for America Statehouse News Initiative. Report for America is a nonprofit national service program that places journalists in local newsrooms to report on undercovered issues."
police sued,https://www.sfgate.com/news/article/Advocates-sue-police-schools-to-see-if-they-15431577.php,"Advocates sue police, schools to see if they share info","BOSTON (AP) — Several advocacy groups have sued the Boston police and school departments to find how much information they share with federal immigration officials. Lawyers for Civil Rights, the Center for Law and Education, and Multicultural Education, Training, and Advocacy filed suit in Suffolk Superior Court on Thursday for details on how police and schools share student information with U.S. Immigration and Customs Enforcement. The Boston Globe previously reported that the city has shared information about Boston Public School students involved in fights, disturbances or vandalism more than 100 times between 2014 and 2018 with the Boston Regional Intelligence Center, commonly known as BRIC. The agency includes an agent from the Department of Homeland Security. David Carabin, assistant chief of the BRIC, said the unit doesn’t work with federal authorities on immigration proceedings. “ICE does not have access to a drop of data that sits within the Boston Police Department,” Carabin said under questioning from city councilors during a hearing on grant funding on Thursday. The school system has said it no longer shares such reports."
sheriff sued,https://www.valdostadailytimes.com/news/local_news/sheriff-lowndes-deputy-fired-for-violating-use-of-force-policy/article_1d8b861a-89ab-5e4c-8694-d2a83fb09371.html,"
        
            
            Sheriff: Lowndes deputy fired for violating use of force policy
        
    ","Partly cloudy. A stray shower or thunderstorm is possible. High 92F. Winds ESE at 5 to 10 mph.. A few clouds. A stray shower or thunderstorm is possible. Low 73F. Winds light and variable. Your News. Your Voice. Your Times. VALDOSTA — A lawman at the center of a lawsuit claiming excessive use of force has been fired for another incident, the Lowndes County sheriff said Friday. Deputy James Stokes was fired from the Lowndes County Sheriff’s Office after a situation Thursday when he was working an extra-duty assignment as security at a local night club, Sheriff Ashley Paulk said in a statement released Friday. Stokes intervened in a fight, leading to an altercation between Stokes and one of the participants in the fight, Paulk said. “Once the person realized James Stokes was law enforcement, the male ceased his resistance but James Stokes continued, using racially offensive and threatening language all in violation of the sheriff’s office use of force policy. The male sustained no apparent injuries,” the sheriff said. The matter has been turned over to the Georgia Bureau of Investigation, the sheriff said. Stokes had worked for the sheriff’s office for less than a year, Paulk said. Stokes, the Remerton Police Department and several Remerton city officials were recently sued in federal court on an accusation of excessive force during a Sept. 6 incident when Stokes was a police officer for the city. In the lawsuit, Nicholas Paige claims he was slapped by Stokes during an encounter where Paige was mistaken for someone else, with law enforcement entering his home and drawing guns on him. Stokes was a reserve Lowndes sheriff's deputy at the time of the Remerton incident; the sheriff’s office is not involved in the lawsuit because Stokes was acting in his capacity as a Remerton officer and not a county deputy at the time, Karla Walker, Paige’s attorney, said in a past article. Terry Richards is senior reporter at The Valdosta Daily Times. Email notifications are only sent once a day, and only if there are new matching items. Sorry, there are no recent results for popular commented articles. Sign up now to get our FREE breaking news coverage delivered right to your inbox. First Amendment: Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances."
sheriff sued,https://www.msn.com/en-us/news/crime/north-carolina-man-files-lawsuit-claims-deputies-beat-him/ar-BB178UNF,"North Carolina man files lawsuit, claims deputies beat him","CHARLOTTE, N.C. (AP) — A North Carolina man is suing after he said he was pepper sprayed, tasered and beaten by a group of Union County sheriff's deputies following a traffic stop. The Charlotte Observer reported Thursday that the lawsuit was filed by Dustin Parrish in federal court. Parrish, who is white, estimates that he was struck in the face at least 20 times. He said he was tased twice, pepper sprayed and placed in a choke hold. Union County Sheriff Eddie Cathey told the Observer that Parrish ""created the violence when he assaulted an officer.” Cathey added that Parrish resisted arrest, ignored orders and tried to escape twice. Parrish claims he never assaulted an officer. His lawsuit alleges that deputies lied and trumped up charges to keep him in jail for more than 200 days before trial. He also claims he didn't get the medication he needed and had to be hospitalized. Video of the 2019 incident obtained by the Observer shows Parrish trying to escape. Another clip shows him struggling with two officers before being struck by a third. Video shows a deputy shooting pepper spray into Parrish’s eyes before another deputy appears to tase him. Bo Caudill, one of three attorneys representing Parrish, said the deputies “acted like bullies with badges.”"
sheriff sued,https://www.commercialappeal.com/story/news/2020/07/24/shelby-co-jail-cases-rise-ahead-federal-court-ruling/5504728002/,"Cases rise among Shelby Co. Sheriff employees, jail detainees ahead of federal court ruling","The Shelby County Sheriff's Office has seen an uptick in coronavirus cases among employees and detainees, the agency announced on Twitter Friday. The case counts rose as a ruling in a federal class-action lawsuit seeking the release of ""medically vulnerable"" detainees from the Downtown jail at 201 Poplar is pending. Positive COVID-19 results rose by 12 employees since SCSO's previous update July 17. Two new cases among detainees were also reported. The population at 201 Poplar is just below 1,900 detainees currently, according to the agency. A total of 184 detainees have tested positive of whom 13 are currently isolated, SCSO said. More:Judge orders independent inspection of Shelby Co. jail in class-action COVID-19 exposure suit The lawsuit contends detainees who are over 55 and/or have medical conditions that place them at high-risk for severe coronavirus symptoms should be released as they await trial. A spokesperson for the Sheriff's office said previously that the agency cannot comment on pending litigation. Sarah Macaraeg can be reached at sarah.macaraeg@commercialappeal.com, 901-529-2889 or on Twitter @seramak."
sheriff sued,https://www.wcnc.com/article/news/local/man-sues-union-county-deputies-for-alleged-excessive-force-during-arrest/275-20513c62-7d25-497b-8bae-e65d257b14cb,"Charlotte's Leading Local News: Weather, Traffic, Sports and more | Charlotte, North Carolina | WCNC.com","UNION COUNTY, N.C. — In a federal lawsuit filed this week, a man arrested in Union County accuses sheriff's deputies of brutally beating him in broad daylight following a traffic stop.  A total of seven law enforcement officers, including the sheriff, are named in the broader lawsuit. Video released by his lawyer shows the confrontation between Dustin Parrish and several Union County sheriff's deputies. In the lawsuit, Parrish said he feared for his life when authorities struck him in the face, used a taser and pepper spray on him before placing him in a chokehold. The events unfolded after a traffic stop on Lathan Road in Monroe on April 1 of last year. Parrish was a passenger in a car that was pulled over by deputies. The lawsuit claims deputies stopped the car because they spotted Parrish in the vehicle with a woman who had a protective order against him. The Union County Sheriff's Office would not provide comment for this story. When a deputy allegedly asked Parrish to step out of the car, an altercation began. The lawsuit also states the deputies used excessive force, even as Parrish insists he complied with their commands. Video released only shows portions of the incident. The lawsuit also states Parrish was denied medical care and treatment both directly following the arrest and while he was being held in jail for several months, which led to further medical complications. Medical details on Parrish's conditions were withheld in the lawsuit provided to WCNC Charlotte. The Union County Sheriff's Office would not comment on pending litigation. Parrish spent more than 200 days in jail before appearing for trial, according to dates provided in the lawsuit.  The suit claims he pleaded guilty because he feared for his life and thought he would be able to get out of jail much sooner than if he fought the charges against him. Once in jail, the lawsuit alleges, deputies continued to verbally mistreat Parrish. Parrish is seeking monetary damages. Notifications can be turned off anytime in the browser settings."
sheriff sued,https://www.denverpost.com/2020/07/23/adams-county-sheriff-richard-reigenborn-political-retaliation-lawsuit/,"

	
				
			Lawsuit alleges Adams County sheriff retaliated against former deputies over political campaign, violated Constitutional rights		

	
	","GET BREAKING NEWS IN YOUR BROWSER. CLICK HERE TO TURN ON NOTIFICATIONS. Days after taking office in 2019, Adams County Sheriff Richard Reigenborn forced four senior members to resign because they’d supported his opponent in the sheriff’s race — then he filled the positions with his less-qualified friends and supporters, according to a lawsuit filed earlier this month by those four former sheriff’s deputies. Former Chiefs Timothy James Coates and Gene Claps, along with former Captain Mark Mitchell and former Commander Kevin Currier  filed the lawsuit July 1 against Reigenborn and the Adams County Sheriff’s Office, alleging Reigenborn violated their rights to free speech and due process when he told them to resign or be fired one week after he took office after winning in an upset. “Literally dumped out on the curb after a 29-year career with no explanation, no anything,” Mitchell said in an interview Thursday, describing how he had to call his wife for a ride home from outside the sheriff’s office. A spokesman for the sheriff’s office declined to comment for this story because of the pending lawsuit. All four plaintiffs supported Reigenborn’s Republican opponent in the sheriff’s race, incumbent Michael McIntosh, according to the lawsuit, by donating to his campaign and publicly backing him. They also withdrew support from the Fraternal Order of Police Colorado Lodge 1, where Reigenborn served in various leadership roles for years. In individual meetings on January 15, 2019, Reigenborn, who ran as a Democrat, told the four that he wanted to “take the agency in a different direction” by making “cultural changes” designed to “get the troops in line,” according to the lawsuit, brought through law firm Rathod Mohamedbhai. He refused to explain what that direction was, Mitchell said, adding that over his career he’d worked for four different sheriffs, both Republicans and Democrats, and “politics never entered the picture.” “To say that we couldn’t fit with the new direction, without us even knowing what it was, is mind-boggling,” Mitchell said. All four men resigned from the sheriff’s office in lieu of termination in order to keep their retirement benefits, according to the lawsuit. “I dedicated my entire life to Adams County,” Coates said, adding later that the forced resignation has created a major financial loss. “It’s very painful to suddenly find yourself on the curb, and in my case I cannot get another police job; I’m too old.” Reigenborn abolished existing sheriff’s department policies the day he took office and replaced them with his own policies that gave him sole authority to make hiring, promotion and firing decisions, according to the lawsuit. The new sheriff then hired or promoted at least five of his friends and supporters, according to the lawsuit, which alleged the new hires were less qualified for the jobs than those the sheriff ousted. Michael Bethel was hired as a division chief on Jan. 22, 2019, according to a roster of sheriff’s employees. Bethel was fired from the Pueblo Police Department in 2006 after a sex tape surfaced that included him, his wife and a man with a long-criminal history, The Denver Post reported in 2015. He was acquitted of criminal charges in connection with the sex tape’s discovery and later won $20,000 in a federal lawsuit accusing Pueblo police leadership of discriminating against him because of his sexual preferences. Bethel later became chief of Rocky Ford, where his son served as an officer despite criminal convictions — some while he was a juvenile — that included use of a gun while drunk, careless driving and possession of drug paraphernalia, according to prior The Denver Post reports. Division Chief William Dunning was hired in May 2019. He’d previously left the sheriff’s office in the mid-1990s and had been working as a RV salesman before he was hired back into top police leadership by Reigenborn, according to the lawsuit. Dunning was initially hired as a civilian and has since been re-certified as a law enforcement officer, according to the sheriff’s office. Dunning and Bethel could not be reached for comment Thursday; a spokesman for the sheriff’s office said they could not comment due to the pending litigation. The lawsuit seeks monetary damages, but Mitchell said he hopes to also ensure others in the department are not deprived of due process in the future. “I would like a decision to be made that career employees have some type of due process,” he said, “and that an elected official cannot just walk in and do what happened to us.”"
sheriff sued,https://www.wsoctv.com/news/local/man-files-lawsuit-claims-sheriffs-office-used-excessive-force/MS5X6PJ6TRARVHBPWGKNY7ZTK4/,"Man files lawsuit, claims sheriff’s office used excessive force during arrest","UNION COUNTY, N.C. —  Channel 9 obtained video of an arrest in Union County that is at the center of a lawsuit. The video shows officers arresting Dustin Parrish during a traffic stop. Initially, Parrish was taken to the ground. In the video, a third deputy arrives and sees the struggle on the ground before rushing over and throwing several punches. The lawsuit says Parrish was shocked with a Taser and pepper-sprayed after getting to his knees. NEW: A lawsuit has been filed against Union County Sheriff Eddie Cathey and numerous UCSO deputies alleging excessive force and due process violations stemming from this April 2019 arrest. I've obtained videos of the incident. Story to come. Coverage starting at 5 on @wsoctv pic.twitter.com/o9Tn6d1Vvt Another dash camera video shows Parrish with his hands and feet restrained, being carried and forcefully put inside a cruiser. In another video, Parrish can be heard saying, “I can’t breathe.” There also are claims in the lawsuit that go beyond what can be seen in the video. Channel 9′s Joe Bruno first learned about the lawsuit Wednesday night. He has spoken with the Parrish’s attorney and a police expert about the case. According to the lawsuit, the traffic stop began with Parrish in a car with someone who had a protective order out against him. A deputy recognized the vehicle, followed the pair and pulled the car over. A deputy struck Parrish in the face at least 20 times, according to federal court documents. He was put in a chokehold, hit with pepper spray and stunned with a Taser twice. Deputies eventually put a spit bag over Parrish’s head. The documents said Parrish was denied water to flush his eyes and begged for help when the sheriff came to the scene. The lawsuit claims Union County Sheriff Eddie Cathey laughed at him and said, “I can’t help you.” The documents said Parrish spent more than 200 days in jail and was denied prescribed medication for the first three months, which led to a hospital stay. Among several things, Parrish is alleging excessive force, assault and due process violations. His attorney said deputies went too far. “This case is about bullies with badges,” attorney Bo Caudill said. “Dustin Parrish was pulled over for committing a crime and instead of pulling him over and treating him with basic human dignity that every person deserves to be treated with, certain deputies with the Union County Sheriff’s Office beat him up.” The Union County Sheriff’s Office declined to comment, citing the pending litigation. Channel 9 spoke with Scott McClatchie, who is a use of force expert and specializes in police encounters. He said punching is a tactic police use during resistance. “I saw a deputy on his back,” McClatchie said. “If I was responding to a backup call on a fight or a struggle, and I saw a fellow officer on his back or the ground, I’d be pretty concerned.” The attorney for Parrish denies he was resisting. © 2020 Cox Media Group. By using this website, you accept the terms of our Visitor Agreement and Privacy Policy, and understand your options regarding Ad Choices.  This station is part of Cox Media Group Television.  Learn about careers at Cox Media Group."
